PREFIXO: ;D4-104
NOME DO POSTO: ;PIRACICABA
MUNICÍPIO: ;PIRACICABA
CURSO D'ÁGUA: ;PIRACICABA,R
LATITUDE: ;22°43'03"
LONGITUDE: ;47°39'07"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  06/1976;  0,0;  0,0;  0,0;  0,0;  2,3; 60,5;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;60,5;66,9
  07/1976;  0,2; 18,5; 59,0; 14,2;  0,0;  0,0;  0,0;  0,5;  7,5; 13,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;59,0;113,0
  08/1976;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  6,7;  0,0;  6,0;  8,7; 25,0;  0,0;  0,0;  0,0;  0,0;  4,0; 18,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;25,0;69,1
  09/1976;  0,0;  0,0;  0,0;  0,0;  5,7; 12,0; 13,5; 34,5;  0,0;  0,0;  0,0;  0,0;  4,0; 24,5;  0,5; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,2;  0,0;  0,0;  0,0; 29,5; 24,0;0,0;0,0;---;34,5;164,6
  10/1976;  0,0;  0,0;  0,0;  0,0;  0,0;  5,1;  0,0;  0,0; 40,5; 49,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,9; 23,3; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0; 36,8; 18,8;  0,0;  0,0;0,0;0,0;0,0;49,0;191,4
  11/1976; 13,1;  0,0;  0,0;  0,0; 16,0; 37,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 57,0; 17,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,5;0,0;0,0;---;57,0;148,5
  12/1976;  0,0; 15,2;  0,5;  0,0;  0,0; 47,0;  0,0;  0,0; 33,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,2;  0,3;  0,0;  0,0;  0,0; 10,0;  0,0; 27,9;  7,2; 14,8;  5,8; 19,3;  2,8;0,0;0,0;0,0;47,0;191,7
  01/1977;  0,0;  1,5; 35,0;  0,0; 26,0; 17,0; 29,0;  3,0;  0,0;  0,0;  2,5;  0,0;  0,0;  0,0; 20,4;  0,0; 36,8;  0,0; 32,0;  8,2;  0,0;  0,0; 11,0;  4,2; 30,5;  7,5;  3,9;  6,0;6,3;1,7;0,3;36,8;282,8
  02/1977; 29,0;  0,0;  0,0;  0,0;  0,8;  0,0;  0,0;  8,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;29,0;39,7
  03/1977;  0,0;  0,0;  0,0;  0,0; 80,0;  1,2;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,5;  0,0;  0,0; 13,7;  2,2; 10,9; 44,0; 13,7;  0,0;  0,0;  0,0;  0,0;7,8;27,5;35,5;80,0;247,0
